NMec = 97746
T = 38
P = 2
Profits ignored
Valid tasks:                                                                0
Solution time = 3.096e-06
Task data
    1   8     1 0
    2  16     1 1
    2  16     1 0
    6  21     1 -594850707
   17  27     1 0
   15  30     1 -103623024
   26  30     1 1
   15  32     1 -103448176
   24  38     1 32538
   26  38     1 32765
   20  39     1 0
   32  39     1 0
   49  56     1 0
   54  68     1 1
   80  83     1 0
   84  91     1 0
   84  94     1 1
   84  95     1 32538
  101 112     1 0
  102 125     1 1
  109 128     1 -103623580
  119 129     1 0
  128 135     1 1
  130 140     1 0
  123 143     1 32538
  139 143     1 1
  153 156     1 0
   49 170     1 0
   32 173     1 0
   93 174     1 0
  156 176     1 1
  166 178     1 0
  161 179     1 -1
  166 179     1 32765
  167 180     1 195
  171 180     1 0
  181 185     1 0
    3 188     1 -594848405
Best profit: 20
End
