NMec = 97746
T = 38
P = 3
Profits ignored
Valid tasks:                                                                0
Solution time = 3.326e-06
Task data
    1   6     1 0
   13  20     1 0
    8  25     1 1
   24  29     1 0
   27  29     1 1
   17  37     1 2
   35  45     1 0
   36  47     1 1
   30  48     1 32607
   45  51     1 2
   48  55     1 0
   52  60     1 1
   54  60     1 2
   46  63     1 0
   52  63     1 0
   51  68     1 1736415839
   49  69     1 0
   68  73     1 0
   73  85     1 1
   75  85     1 0
   88  91     1 0
   75  92     1 2
   82  94     1 32607
   95  98     1 0
   91 101     1 1
   97 105     1 2
   91 107     1 32607
  101 113     1 0
  101 115     1 0
  106 115     1 1
   90 117     1 0
  101 117     1 1448952208
  107 117     1 2
  103 118     1 32764
  117 121     1 0
  106 123     1 887942253
    1 125     1 32607
  112 125     1 1447102064
Best profit: 24
End
