NMec = 97746
T = 39
P = 3
Profits ignored
Valid tasks:                                                                0
Solution time = 3.286e-06
Task data
    2  13     1 0
   11  26     1 1
   18  27     1 0
    5  33     1 2
   23  40     1 32725
   39  42     1 0
   31  44     1 1
   18  45     1 32725
   32  47     1 0
   41  54     1 2
   39  60     1 32725
   43  63     1 0
   53  66     1 1
   51  68     1 2009262464
   59  72     1 2
   63  72     1 2009261908
   55  74     1 0
   65  74     1 0
   62  77     1 1736415839
   68  78     1 1
   57  79     1 -1
   67  81     1 0
   59  82     1 32764
   74  85     1 2
   18  86     1 0
   71  86     1 0
   51  93     1 0
   77  93     1 0
   12  97     1 0
   80  97     1 1
   93 101     1 2
   97 104     1 0
    8 105     1 0
   99 107     1 1
  103 114     1 2
  111 117     1 0
  106 122     1 -464579221
  118 125     1 0
  105 126     1 32725
Best profit: 21
End
