NMec = 97746
T = 38
P = 1
Profits ignored
Valid tasks:                                                                0
Solution time = 2.735e-06
Task data
    6  18     1 0
   26  34     1 0
   27  37     1 0
   40  56     1 0
   71  89     1 0
   91 100     1 0
   99 100     1 1736415839
   97 105     1 32766
  108 111     1 0
  116 127     1 0
  134 140     1 0
  134 148     1 368988560
   35 160     1 4
  150 160     1 0
  143 162     1 156681456
  167 177     1 0
  182 191     1 0
  182 201     1 153449608
  187 203     1 32766
  192 206     1 0
  199 206     1 32766
  193 218     1 0
  222 233     1 0
  218 242     1 0
  233 245     1 0
   58 272     1 156720237
  268 280     1 0
  272 289     1 195
  291 295     1 0
  139 301     1 32747
  132 313     1 32747
  307 317     1 0
  308 322     1 0
  301 324     1 0
  325 338     1 0
  147 350     1 32747
  353 361     1 0
  364 374     1 0
Best profit: 19
End
