01	01	3102
02	01	3618
02	02	3618
03	01	2613
03	02	5211
03	03	6380
04	01	3838
04	02	6365
04	03	8285
04	04	9290
05	01	6652
05	02	11041
05	03	13313
05	04	14815
05	05	14815
06	01	6756
06	02	9112
06	03	12004
06	04	13117
06	05	14020
06	06	14020
07	01	7114
07	02	5168
07	03	6264
07	04	8090
07	05	9782
07	06	11338
07	07	11878
08	01	12202
08	02	8037
08	03	10129
08	04	11648
08	05	13154
08	06	14419
08	07	15151
08	08	15151
09	01	10166
09	02	12120
09	03	14179
09	04	17778
09	05	21159
09	06	22156
09	07	23025
09	08	23773
10	01	11433
10	02	8955
10	03	12482
10	04	12631
10	05	14894
10	06	16446
10	07	17770
10	08	19065
11	01	14057
11	02	13839
11	03	14330
11	04	13953
11	05	16219
11	06	17957
11	07	19640
11	08	21274
12	01	9984
12	02	16475
12	03	14890
12	04	14781
12	05	17291
12	06	19681
12	07	22043
12	08	23094
13	01	21136
13	02	16252
13	03	15404
13	04	18816
13	05	19673
13	06	21871
13	07	23293
13	08	24307
14	01	15539
14	02	17040
14	03	16630
14	04	19545
14	05	17022
14	06	18770
14	07	20062
14	08	21347
15	01	23243
15	02	27566
15	03	22579
15	04	24621
15	05	18185
15	06	20091
15	07	21943
15	08	23666
16	01	18931
16	02	25477
16	03	24648
16	04	22609
16	05	18629
16	06	23634
16	07	26127
16	08	28116
17	01	19053
17	02	18448
17	03	22191
17	04	23907
17	05	20873
17	06	24416
17	07	26759
17	08	28916
18	01	23552
18	02	18117
18	03	20894
18	04	20199
18	05	18019
18	06	21467
18	07	22855
18	08	24109
19	01	18315
19	02	22621
19	03	26356
19	04	19643
19	05	21632
19	06	25757
19	07	27062
19	08	29392
20	01	26165
20	02	23839
20	03	23857
20	04	34223
20	05	30744
20	06	30612
20	07	31854
20	08	34875
21	01	37169
21	02	24070
21	03	30510
21	04	24851
21	05	24310
21	06	29067
21	07	26818
21	08	29081
22	01	38111
22	02	39681
22	03	25675
22	04	28539
22	05	28174
22	06	26533
22	07	28791
22	08	28066
23	01	37575
23	02	24317
23	03	38314
23	04	26887
23	05	29243
23	06	33382
23	07	31756
23	08	35555
24	01	29279
24	02	24559
24	03	28555
24	04	25211
24	05	24916
24	06	25652
24	07	27508
24	08	24114
25	01	41083
25	02	37558
25	03	33957
25	04	37830
25	05	35646
25	06	31170
25	07	32924
25	08	37227
26	01	19323
26	02	25348
26	03	27523
26	04	29018
26	05	32301
26	06	27515
26	07	31421
26	08	27692
27	01	30329
27	02	29750
27	03	43507
27	04	36647
27	05	31744
27	06	29627
27	07	34201
27	08	32214
28	01	38321
28	02	36092
28	03	36592
28	04	28281
28	05	32728
28	06	37497
28	07	37926
28	08	33610
29	01	40780
29	02	56525
29	03	57893
29	04	47964
29	05	40782
29	06	55505
29	07	42887
29	08	47018
30	01	46876
30	02	41112
30	03	52484
30	04	35295
30	05	37852
30	06	37805
30	07	39802
30	08	45812
31	01	29124
31	02	55513
31	03	37967
31	04	42488
31	05	45285
31	06	47208
31	07	42254
31	08	44972
32	01	55597
32	02	48179
32	03	48921
32	04	61305
32	05	45206
32	06	49768
32	07	43173
32	08	42325
33	01	49379
33	02	41945
33	03	50881
33	04	49837
33	05	45267
33	06	43582
33	07	47562
33	08	38737
34	01	40699
34	02	46736
34	03	50693
34	04	59719
34	05	49113
34	06	50663
34	07	51971
34	08	49145
35	01	46322
35	02	63133
35	03	46782
35	04	58071
35	05	50040
35	06	52412
35	07	48779
35	08	45719
36	01	45223
36	02	66111
36	03	45778
36	04	51110
36	05	54764
36	06	53748
36	07	52252
36	08	50245
37	01	60689
37	02	55213
37	03	51315
37	04	78154
37	05	56856
37	06	56918
37	07	59983
37	08	52925
38	01	55649
38	02	59940
38	03	55108
38	04	50471
38	05	70667
38	06	52750
38	07	54353
38	08	56570
39	01	56562
39	02	66206
39	03	53553
39	04	64337
39	05	62403
39	06	55486
39	07	55992
39	08	62373
40	01	70898
40	02	67368
40	03	68417
40	04	54216
40	05	55224
40	06	62165
40	07	60430
40	08	51142
